bins=2	0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     
bins=12	0.000168879     0.000000187     0.000000444     0.000000001     0.000000000     0.000000001     
bins=22	0.000645853     0.000000697     0.000001703     0.000000002     0.000000001     0.000000004     
bins=32	0.000356827     0.000000410     0.000000934     0.000000001     0.000000002     0.000000004     
bins=42	0.002431468     0.000002644     0.000006443     0.000000008     0.000000002     0.000000015     
bins=52	0.000711680     0.000000749     0.000001903     0.000000004     0.000000003     0.000000006     
bins=62	0.000919199     0.000000963     0.000002428     0.000000005     0.000000004     0.000000007     
bins=72	0.000725424     0.000000782     0.000001912     0.000000006     0.000000004     0.000000008     
bins=82	0.000817238     0.000000912     0.000002161     0.000000007     0.000000005     0.000000008     
bins=92	0.006411185     0.000006967     0.000017014     0.000000020     0.000000007     0.000000039     
bins=102	0.001313994     0.000001500     0.000003532     0.000000008     0.000000007     0.000000013     
bins=112	0.006695463     0.000007321     0.000017874     0.000000022     0.000000011     0.000000041     
bins=122	0.008399163     0.000009096     0.000022289     0.000000029     0.000000011     0.000000051     
bins=132	0.013145707     0.000014160     0.000034955     0.000000042     0.000000014     0.000000079     
bins=142	0.002178510     0.000002610     0.000005934     0.000000015     0.000000016     0.000000023     
bins=152	0.004306186     0.000004713     0.000011549     0.000000019     0.000000014     0.000000033     
bins=162	0.002966483     0.000003386     0.000007995     0.000000019     0.000000017     0.000000026     
bins=172	0.007393499     0.000008045     0.000019642     0.000000030     0.000000018     0.000000050     
bins=182	0.017170057     0.000018489     0.000045592     0.000000058     0.000000022     0.000000102     
bins=192	0.001825673     0.000002305     0.000004940     0.000000023     0.000000020     0.000000028     
bins=202	0.023028713     0.000024825     0.000061117     0.000000075     0.000000027     0.000000142     
bins=212	0.009813501     0.000010766     0.000026074     0.000000040     0.000000022     0.000000068     
bins=222	0.027687092     0.000029741     0.000073626     0.000000091     0.000000032     0.000000169     
bins=232	0.020789652     0.000022440     0.000055353     0.000000068     0.000000028     0.000000128     
bins=242	0.008568310     0.000009423     0.000022831     0.000000037     0.000000029     0.000000067     
bins=252	0.006264119     0.000007095     0.000016923     0.000000035     0.000000029     0.000000053     
bins=262	0.024170359     0.000026022     0.000064190     0.000000083     0.000000034     0.000000153     
bins=272	0.027340390     0.000029329     0.000072779     0.000000091     0.000000036     0.000000177     
bins=282	0.008414429     0.000009085     0.000022568     0.000000047     0.000000036     0.000000078     
bins=292	0.043953604     0.000047418     0.000116797     0.000000141     0.000000046     0.000000261     
bins=302	0.031673335     0.000034200     0.000084130     0.000000108     0.000000041     0.000000191     
bins=312	0.043496966     0.000046812     0.000115541     0.000000141     0.000000052     0.000000269     
bins=322	0.005193928     0.000006193     0.000013925     0.000000045     0.000000045     0.000000066     
bins=332	0.042873425     0.000046171     0.000113856     0.000000139     0.000000052     0.000000266     
bins=342	0.019248569     0.000020855     0.000051170     0.000000076     0.000000046     0.000000132     
bins=352	0.006980351     0.000007999     0.000018734     0.000000054     0.000000050     0.000000082     
bins=362	0.026029548     0.000028054     0.000069475     0.000000093     0.000000052     0.000000170     
bins=372	0.034824209     0.000037435     0.000092789     0.000000120     0.000000061     0.000000220     
bins=382	0.048500615     0.000052159     0.000128871     0.000000160     0.000000062     0.000000297     
bins=392	0.012855025     0.000014102     0.000034579     0.000000069     0.000000059     0.000000117     
bins=402	0.010242688     0.000011385     0.000027533     0.000000071     0.000000058     0.000000109     
bins=412	0.058168924     0.000062706     0.000154333     0.000000195     0.000000069     0.000000353     
bins=422	0.018120436     0.000019854     0.000048119     0.000000086     0.000000067     0.000000135     
bins=432	0.055768672     0.000060049     0.000148108     0.000000185     0.000000075     0.000000339     
bins=442	0.021962905     0.000023965     0.000058250     0.000000101     0.000000073     0.000000159     
bins=452	0.008145375     0.000009656     0.000021717     0.000000073     0.000000072     0.000000109     
bins=462	0.024797123     0.000026915     0.000065925     0.000000108     0.000000069     0.000000174     
bins=472	0.086908784     0.000093298     0.000230882     0.000000287     0.000000091     0.000000522     
bins=482	0.014380185     0.000015899     0.000038322     0.000000102     0.000000082     0.000000136     
bins=492	0.004574810     0.000006351     0.000012581     0.000000089     0.000000078     0.000000118     
bins=502	0.062593987     0.000067245     0.000166309     0.000000221     0.000000093     0.000000389     
bins=512	0.004758156     0.000006676     0.000013120     0.000000095     0.000000084     0.000000126     
bins=522	0.031362309     0.000033848     0.000083423     0.000000136     0.000000090     0.000000221     
bins=532	0.056021475     0.000060418     0.000148897     0.000000202     0.000000099     0.000000355     
bins=542	0.081648000     0.000087786     0.000216912     0.000000268     0.000000109     0.000000497     
bins=552	0.114629818     0.000123186     0.000304499     0.000000375     0.000000117     0.000000693     
bins=562	0.039881183     0.000043142     0.000106070     0.000000161     0.000000103     0.000000270     
bins=572	0.104441948     0.000112300     0.000277399     0.000000342     0.000000115     0.000000634     
bins=582	0.068745976     0.000074105     0.000182591     0.000000237     0.000000113     0.000000430     
bins=592	0.061784954     0.000066574     0.000164171     0.000000217     0.000000112     0.000000396     
bins=602	0.090999947     0.000097874     0.000241507     0.000000301     0.000000120     0.000000560     
bins=612	0.026009276     0.000028469     0.000069333     0.000000143     0.000000110     0.000000220     
bins=622	0.007597060     0.000009800     0.000020823     0.000000116     0.000000109     0.000000184     
